TEAM_ID,TEAM_NAME,TOTAL_WEEKS,AVG_WINS,AVG_FGM,AVG_FGA,AVG_FG_PERCENT,AVG_FTM,AVG_FTA,AVG_FT_PERCENT,AVG_THREES,AVG_PTS,AVG_REB,AVG_AST,AVG_STL,AVG_BLK,AVG_TO
1,LaMelo Submarine,14,5.07,174.57,385.21,0.45,67.86,85.43,0.79,61.21,478.21,191.00,113.29,33.43,19.86,60.57
7,The Trash Man,14,5.07,178.21,389.43,0.46,91.64,116.14,0.79,52.79,500.86,205.36,121.57,30.57,21.71,67.29
12,Bye Week,14,4.79,187.00,395.93,0.47,83.86,110.57,0.76,49.21,507.07,226.57,101.79,29.71,21.29,58.64
10,White Donte’s Inferno,14,4.71,205.00,428.00,0.48,101.71,130.57,0.77,43.43,555.14,197.93,133.36,28.79,16.29,73.14
6,Cbig_gettin_dis,14,4.64,183.14,384.50,0.48,73.29,90.79,0.8,51.29,490.86,181.50,90.43,27.64,21.00,51.07
9,Sick Brag,14,4.64,168.07,359.29,0.47,62.86,82.64,0.76,54.21,453.21,186.57,124.79,31.86,24.64,57.21
2,BigWif’s BigBallers,14,4.36,191.43,423.86,0.45,88.21,107.21,0.82,58.07,529.14,157.43,130.07,31.57,18.50,61.64
3,Pondy’s the Coolest,14,4.21,184.93,426.43,0.43,89.86,111.86,0.81,50.86,510.57,173.93,117.36,28.79,20.71,62.07
5,Playoff P & The Gang,14,4.21,185.07,386.50,0.48,84.07,108.71,0.77,45.00,499.21,184.29,101.43,31.07,20.29,62.79
8,Dragon Army,14,3.79,169.64,351.50,0.48,71.36,92.86,0.77,39.36,450.00,188.86,95.64,25.79,22.14,55.43
11,The Tsunami Papis,14,3.79,136.79,297.14,0.46,54.00,68.71,0.79,33.86,361.43,131.86,105.14,25.71,15.64,46.29
4,Valley Oop,14,3.29,169.21,366.43,0.46,77.43,96.43,0.81,54.00,469.86,146.21,92.29,24.07,12.29,53.79
